0.11,44,46,S5,S7
0.111,18,25,D5,DQ
0.111,6,8,C6,C8
0.111,9,25,C9,DQ
0.111,9,52,C9,SK
0.111,12,48,CQ,S9
0.111,43,52,S4,SK
0.112,16,25,D3,DQ
0.112,18,22,D5,D9
0.112,23,34,DT,H8
0.112,4,7,C4,C7
0.112,5,6,C5,C6
0.112,7,9,C7,C9
0.112,11,35,CJ,H9
0.112,11,47,CJ,S8
0.112,32,35,H6,H9
0.112,42,45,S3,S6
0.113,44,50,S5,SJ
0.113,1,19,CA,D6
0.113,2,13,C2,CK
0.113,3,12,C3,CQ
0.113,3,42,C3,S3
0.113,8,35,C8,H9
0.113,8,37,C8,HJ
0.113,9,50,C9,SJ
0.113,14,46,DA,S7
0.113,27,46,HA,S7
0.113,28,39,H2,HK
0.113,31,40,H5,SA
0.114,17,25,D4,DQ
0.114,18,19,D5,D6
0.114,18,21,D5,D8
0.114,21,40,D8,SA
0.114,21,51,D8,SQ
0.114,22,37,D9,HJ
0.114,23,48,DT,S9
0.114,7,27,C7,HA
0.114,26,48,DK,S9
0.114,43,44,S4,S5
0.114,44,45,S5,S6
0.115,45,46,S6,S7
0.115,16,29,D3,H3
0.115,17,19,D4,D6
0.115,18,23,D5,DT
0.115,25,35,DQ,H9
0.115,1,18,CA,D5
0.115,2,12,C2,CQ
0.115,4,5,C4,C5
0.115,5,27,C5,HA
0.115,9,34,C9,H8
0.115,9,36,C9,HT
0.115,27,29,HA,H3
0.115,33,37,H7,HJ
0.116,16,26,D3,DK
0.116,17,26,D4,DK
0.116,20,27,D7,HA
0.116,2,15,C2,D2
0.116,6,11,C6,CJ
0.116,6,19,C6,D6
0.116,7,12,C7,CQ
0.116,10,48,CT,S9
0.116,13,34,CK,H8
0.116,13,35,CK,H9
0.116,30,43,H4,S4
0.116,44,47,S5,S8
0.117,18,44,D5,S5
0.117,26,35,DK,H9
0.117,1,46,CA,S7
0.117,5,18,C5,D5
0.117,26,47,DK,S8
0.117,30,32,H4,H6
0.117,30,33,H4,H7
0.117,33,35,H7,H9
0.117,39,48,HK,S9
0.117,43,50,S4,SJ
0.118,20,23,D7,DT
0.118,11,48,CJ,S9
0.118,36,47,HT,S8
0.118,43,45,S4,S6
0.119,45,47,S6,S8
0.119,6,45,C6,S6
0.119,7,11,C7,CJ
0.119,9,37,C9,HJ
0.119,9,51,C9,SQ
0.119,11,39,CJ,HK
0.119,14,47,DA,S8
0.119,15,28,D2,H2
0.119,28,41,H2,S2
0.12,44,51,S5,SQ
0.12,19,27,D6,HA
0.12,22,24,D9,DJ
0.12,3,13,C3,CK
0.12,7,40,C7,SA
0.12,14,32,DA,H6
0.12,30,40,H4,SA
0.12,31,32,H5,H6
0.12,32,34,H6,H8
0.12,33,34,H7,H8
0.121,45,51,S6,SQ
0.121,21,23,D8,DT
0.121,22,47,D9,S8
0.121,3,29,C3,H3
0.121,12,23,CQ,DT
0.121,31,38,H5,HQ
0.121,35,51,H9,SQ
0.121,35,52,H9,SK
0.122,22,39,D9,HK
0.122,6,27,C6,HA
0.122,9,49,C9,ST
0.122,10,34,CT,H8
0.122,34,38,H8,HQ
0.122,45,52,S6,SK
0.123,1,34,CA,H8
0.123,1,45,CA,S6
0.123,5,13,C5,CK
0.123,8,40,C8,SA
0.123,10,22,CT,D9
0.123,32,37,H6,HJ
0.123,33,40,H7,SA
0.123,41,52,S2,SK
0.124,22,49,D9,ST
0.124,22,52,D9,SK
0.124,23,35,DT,H9
0.124,1,33,CA,H7
0.124,3,4,C3,C4
0.124,5,31,C5,H5
0.124,6,40,C6,SA
0.124,9,24,C9,DJ
0.124,9,39,C9,HK
0.124,11,36,CJ,HT
0.124,14,34,DA,H8
0.124,31,33,H5,H7
0.124,37,49,HJ,ST
0.124,46,47,S7,S8
0.125,19,25,D6,DQ
0.125,22,50,D9,SJ
0.125,1,4,CA,C4
0.125,1,21,CA,D8
0.125,6,13,C6,CK
0.125,30,39,H4,HK
0.126,18,26,D5,DK
0.126,1,20,CA,D7
0.126,1,48,CA,S9
